model.name,model.stage,model.dec_steps,model.seq_len_inference_prefill,hardware.name,hardware.num_chips,batch_size,vision_time_ms,prefill_time_ms,decode_time_ms,e2e_time_ms,vision_boundness,prefill_boundness,decode_boundness,vision_op_intensity,prefill_op_intensity,decode_op_intensity
openvla-7b,e2e,7,256,A100_80GB,1,1,1.2333029593703801,11.1939739100845,42.69277107731847,55.12004794677335,Comp,Comp,Mem,178.58059941594047,246.45524780399742,1.0481540420096735
openvla-7b,e2e,7,256,A100_80GB,2,1,1.7055727036435235,6.955203751917249,24.548765755257225,33.209542210818,Comm,Comp,Mem,167.6881657716385,243.4416566959623,1.0480901083346503
openvla-7b,e2e,7,256,A100_80GB,2,2,1.2422202770787134,11.207994743417832,24.794841864854813,37.24505688535136,Comp,Comp,Mem,179.72581594432702,244.8146659636623,2.0818566083408334
openvla-7b,e2e,7,256,A100_80GB,4,1,1.9988899204891968,4.867318672833624,15.6937630942266,22.55997168754942,Comm,Comp,Mem,149.64637346334834,237.63029301504415,1.0479622643801125
openvla-7b,e2e,7,256,A100_80GB,4,2,1.714490021351857,6.969224585250582,15.841181365623386,24.524895972225828,Comm,Comp,Mem,169.72638114879638,241.37505000351248,2.0813522579855865
openvla-7b,e2e,7,256,A100_80GB,4,4,1.26005491249538,11.2360364100845,16.13601790841696,28.63210923099684,Comp,Comp,Mem,179.72032723446893,244.8146659636623,4.105614552911565
openvla-7b,e2e,7,256,B100,1,1,0.24248727162679035,2.0165288777528887,10.883030063576166,13.142046212955846,Mem,Comp,Mem,178.52438042310402,246.45524780399742,1.0481540420096735
openvla-7b,e2e,7,256,B100,2,1,0.7600347463819717,1.5205505716889443,7.946487795697317,10.227073113768233,Comm,Comp,Mem,167.5849938148205,243.4416566959623,1.0480901083346503
openvla-7b,e2e,7,256,B100,2,2,0.24414015791151258,2.018949016641778,8.008070317957136,10.271159492510426,Mem,Comp,Mem,179.66990681546423,244.8146659636623,2.0818566083408334
openvla-7b,e2e,7,256,B100,4,1,0.8368084837595622,1.158433771236401,5.679341661757893,7.674583916753856,Comm,Comm,Mem,149.58643616593992,237.63029301504415,1.0479622643801125
openvla-7b,e2e,7,256,B100,4,2,0.7616876326666939,1.5229707105778334,5.7143556867970355,7.999014030041563,Comm,Comp,Mem,169.62356125447195,241.37505000351248,2.0813522579855865
openvla-7b,e2e,7,256,B100,4,4,0.24744593048095703,2.023789294419556,5.784383736875322,8.055618961775835,Mem,Comp,Mem,179.66524436204307,244.8146659636623,4.105614552911565
openvla-7b,e2e,7,256,H100,1,1,0.5637114415714397,4.144966897284411,25.986139977551616,30.694818316407467,Mem,Mem,Mem,178.53213637574493,246.45524780399742,1.0481540420096735
openvla-7b,e2e,7,256,H100,1,2,0.8262952007463331,7.153639154241384,26.256911484953974,34.236845839941694,Comp,Comp,Mem,262.6040157905708,453.8732953502731,2.082108875189666
openvla-7b,e2e,7,256,H100,2,1,1.1460137166138709,2.8704521694910863,16.179326924730493,20.19579281083545,Comm,Mem,Mem,167.61785644696258,243.4416566959623,1.0480901083346503
openvla-7b,e2e,7,256,H100,2,2,0.5680172141408841,4.1503071750621885,16.322969614386356,21.041294003589428,Mem,Mem,Mem,179.67706635606336,244.8146659636623,2.0818566083408334
openvla-7b,e2e,7,256,H100,2,4,0.8329067458852222,7.163319709796941,16.6102549936981,24.60648144938026,Comp,Comp,Mem,265.0871625735418,447.6838875309447,4.107577460551627
openvla-7b,e2e,7,256,H100,4,1,1.4891648541350864,2.264694805594424,11.492920398319933,15.246780058049444,Comm,Comm,Mem,149.59661524987897,237.63029301504415,1.0479622643801125
openvla-7b,e2e,7,256,H100,4,2,1.150319489183315,2.875792447268864,11.572998679102552,15.599110615554732,Comm,Mem,Mem,169.65612609354457,241.37505000351248,2.0813522579855865
openvla-7b,e2e,7,256,H100,4,4,0.576628759279773,4.1609877306177445,11.733155240667795,16.47077173056531,Mem,Mem,Mem,179.67121798522933,244.8146659636623,4.105614552911565
openvla-7b,e2e,7,256,H100,4,8,0.8461298361629996,7.182680820908053,12.053468363798277,20.08227902086933,Comp,Comp,Mem,265.07380558104694,447.6838875309447,7.992014033415747
openvla-7b,e2e,7,256,Jetson_AGX_Thor,1,1,6.867943657769096,51.269856770833336,322.3944460550944,380.53224648369684,Mem,Mem,Mem,178.5375106689722,246.45524780399742,1.0481540420096735
openvla-7b,e2e,7,256,Jetson_AGX_Thor,1,2,8.816708034939236,56.055338541666664,325.727838869448,390.5998854460539,Mem,Mem,Mem,262.4868177651073,453.8732953502731,2.082108875189666
openvla-7b,e2e,7,256,Jetson_AGX_Thor,1,4,12.714236789279514,65.62630208333333,332.3946244981554,410.73516337076825,Mem,Mem,Mem,343.1692538295618,783.624619401394,4.10855961839434
openvla-7b,e2e,7,256,Jetson_AGX_Thor,1,8,20.509294297960068,84.76822916666667,345.7281957555701,451.00571922019685,Mem,Mem,Mem,405.48133440656176,1230.6892767031552,8.00318127933931
openvla-7b,e2e,7,256,Jetson_AGX_Thor,1,16,36.09940931532118,153.15033109086815,372.39533827039935,561.6450786765887,Mem,Comp,Mem,445.9624501329395,1721.8562583063065,15.214142678409662
