model.name,model.stage,model.seq_len_inference_prefill,hardware.name,hardware.num_chips,batch_size,vision_time_ms,vlm_time_ms,action_time_ms,e2e_time_ms,vision_boundness,vlm_boundness,action_boundness,vision_op_intensity,vlm_op_intensity,action_op_intensity
pi0,e2e,256,A100_80GB,1,1,2.1285967983039953,10.465595076923076,3.604225367321714,16.198417242548786,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
pi0,e2e,256,A100_80GB,2,1,2.053546446026998,6.292960280929487,4.648111943013781,12.994618669970265,Comm,Comp,Comm,289.1016166292887,518.0479111504112,52.17956500696788
pi0,e2e,256,A100_80GB,2,2,2.140583126428995,10.48694012900641,3.6205831960977566,16.24810645153316,Comp,Comp,Mem,325.001347010348,545.3186224518554,54.05093705983013
pi0,e2e,256,A100_80GB,4,1,2.043521269888499,4.225142882932692,5.375601890861198,11.64426604368239,Comm,Comp,Comm,240.75012674006967,475.8696665549972,49.26684717389286
pi0,e2e,256,A100_80GB,4,2,2.0655327741519973,6.31430533301282,4.664469771789824,13.04430787895464,Comm,Comp,Comm,295.0268419060631,522.6696250512981,52.28852639354747
pi0,e2e,256,A100_80GB,4,4,2.164555782678995,10.529630233173078,3.6532988536498396,16.347484869501912,Comp,Comp,Mem,325.001347010348,545.3186224518554,54.05093705983013
pi0,e2e,256,B100,1,1,0.400627858141125,1.8658660937142857,0.9138752891335624,3.180369240988973,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
pi0,e2e,256,B100,2,1,0.6035219368830624,1.2705224838853173,2.509828667640686,4.383873088409066,Comm,Comp,Comm,289.1016166292887,518.0479111504112,52.17956500696788
pi0,e2e,256,B100,2,2,0.4027089128286249,1.8695069357281744,0.9174349272629028,3.189650775819702,Comp,Comp,Mem,325.001347010348,545.3186224518554,54.05093705983013
pi0,e2e,256,B100,4,1,0.6098944253094705,0.9081006789708332,2.6782065892219546,4.196201693502259,Comm,Comm,Comm,240.75012674006967,475.8696665549972,49.26684717389286
pi0,e2e,256,B100,4,2,0.6056029915705626,1.274163325899206,2.513388305770026,4.393154623239795,Comm,Comp,Comm,295.0268419060631,522.6696250512981,52.28852639354747
pi0,e2e,256,B100,4,4,0.4068710222036249,1.8767886197559525,0.9245542035215831,3.2082138454811604,Comp,Comp,Mem,325.001347010348,545.3186224518554,54.05093705983013
pi0,e2e,256,H100,1,1,0.7091329690340838,3.301583077856421,2.1419726813122613,6.152688728202765,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
pi0,e2e,256,H100,2,1,0.9430420499213252,2.175981284154168,3.74710728823249,6.866130622307983,Comm,Comp,Comm,289.1016166292887,518.0479111504112,52.17956500696788
pi0,e2e,256,H100,2,2,0.7137950784090838,3.3093647618841984,2.1540919575709414,6.177251797864223,Comp,Comp,Mem,325.001347010348,545.3186224518554,54.05093705983013
pi0,e2e,256,H100,4,1,1.0920780299746553,1.6321367987219804,4.7311291090765994,7.455343937773235,Comm,Comm,Comm,240.75012674006967,475.8696665549972,49.26684717389286
pi0,e2e,256,H100,4,2,0.9477041592963253,2.183762968181946,3.75922656449117,6.8906936919694415,Comm,Comp,Comm,295.0268419060631,522.6696250512981,52.28852639354747
pi0,e2e,256,H100,4,4,0.7231192971590837,3.3249281299397535,2.1783305100883017,6.22637793718714,Comp,Comp,Mem,325.001347010348,545.3186224518554,54.05093705983013
pi0,e2e,256,Jetson_AGX_Thor,1,1,6.062347412109375,20.303090413411457,26.199926932652797,52.56536475817363,Mem,Mem,Mem,321.37342499720927,542.7692132772324,53.99005534676914
pi0,e2e,256,Jetson_AGX_Thor,1,2,9.288848876953125,26.934305826822914,27.660270531972255,63.88342523574829,Mem,Mem,Mem,397.78518350259066,791.3996913428767,96.11828390208201
pi0,e2e,256,Jetson_AGX_Thor,1,4,15.741851806640625,40.19673665364583,30.580957730611168,86.51954619089761,Mem,Mem,Mem,451.4556443933355,1026.5104749778957,157.6092071846049
pi0,e2e,256,Jetson_AGX_Thor,1,8,28.647857666015625,69.88594846995834,36.42233212788899,134.95613826386295,Mem,Mem,Mem,484.1148108208092,1205.5901840083075,231.73432013246799
pi0,e2e,256,Jetson_AGX_Thor,1,16,54.459869384765625,139.77189693991667,48.10508092244466,242.33684724712697,Mem,Mem,Mem,502.28286323961834,1205.5901840083075,302.9819763404498
pi0,e2e,256,Jetson_AGX_Thor,1,32,106.08389282226562,279.54379387983334,72.62046547697265,458.2481521790716,Mem,Mem,Mem,511.88803166662035,1205.5901840083075,358.0192042425262
pi0,e2e,256,Jetson_AGX_Thor,1,64,209.33193969726562,559.0875877596667,129.61593095394534,898.0354584108777,Mem,Mem,Mem,516.8297057059909,1205.5901840083075,393.78509406231393
pi0,e2e,256,RTX_4090,1,1,4.0208364321413965,19.78948887272727,7.254440338499391,31.064765643368055,Comp,Comp,Mem,321.37342499720927,542.7692132772324,53.99005534676914
pi0,e2e,256,A100_80GB,1,2,4.257193596607991,20.931190153846153,3.932488253034797,29.12087200348894,Comp,Comp,Mem,321.37342499720927,542.7692132772324,96.11828390208201
pi0,e2e,256,A100_80GB,1,4,8.514387193215981,41.862380307692305,5.401048615384615,55.777816116292904,Comp,Comp,Comp,321.37342499720927,542.7692132772324,157.6092071846049
pi0,e2e,256,A100_80GB,2,8,8.56233250571598,41.94776051602564,5.436479930488781,55.9465729522304,Comp,Comp,Comp,325.001347010348,545.3186224518554,158.12915937286084
pi0,e2e,256,A100_80GB,2,4,4.28116625285799,20.97388025801282,3.95520391058688,29.21025042145769,Comp,Comp,Mem,325.001347010348,545.3186224518554,96.31141563547042
pi0,e2e,256,A100_80GB,4,8,4.32911156535799,21.059260466346156,4.000635225691046,29.389007257395193,Comp,Comp,Mem,325.001347010348,545.3186224518554,96.31141563547042
pi0,e2e,256,A100_80GB,4,16,8.65822313071598,42.11852093269231,5.507342560697116,56.28408662410541,Comp,Comp,Comp,325.001347010348,545.3186224518554,158.12915937286084
pi0,e2e,256,B100,1,8,3.205022865129,14.926928749714286,1.9540686177359095,20.086020232579195,Comp,Comp,Comp,321.37342499720927,542.7692132772324,231.73432013246799
pi0,e2e,256,B100,1,2,0.80125571628225,3.7317321874285714,0.9927896407671246,5.525777544477946,Comp,Comp,Mem,321.37342499720927,542.7692132772324,96.11828390208201
pi0,e2e,256,B100,1,4,1.6025114325645,7.463464374857143,1.1506183440342492,10.216594151455892,Comp,Comp,Mem,321.37342499720927,542.7692132772324,157.6092071846049
pi0,e2e,256,B100,2,4,0.8054178256572498,3.739013871456349,0.9974089170258051,5.541840614139403,Comp,Comp,Mem,325.001347010348,545.3186224518554,96.31141563547042
pi0,e2e,256,B100,2,8,1.6108356513144997,7.478027742912698,1.1573568965516103,10.246220290778806,Comp,Comp,Mem,325.001347010348,545.3186224518554,158.12915937286084
pi0,e2e,256,B100,2,16,3.2216713026289994,14.956055485825395,1.9650457227706317,20.142772511225026,Comp,Comp,Comp,325.001347010348,545.3186224518554,232.86010474999094
pi0,e2e,256,B100,4,32,3.2549681776289994,15.01430895804762,1.9869999328400758,20.25627706851669,Comp,Comp,Comp,325.001347010348,545.3186224518554,232.86010474999094
pi0,e2e,256,B100,4,8,0.8137420444072498,3.753577239511905,1.0066474695431666,5.5739667534623205,Comp,Comp,Mem,325.001347010348,545.3186224518554,96.31141563547042
pi0,e2e,256,B100,4,16,1.6274840888144997,7.50715447902381,1.1708340015863326,10.30547256942464,Comp,Comp,Mem,325.001347010348,545.3186224518554,158.12915937286084
pi0,e2e,256,H100,1,8,5.673063752272671,26.412664622851366,3.4489426620581076,35.53467103718214,Comp,Comp,Comp,321.37342499720927,542.7692132772324,231.73432013246799
pi0,e2e,256,H100,1,2,1.4182659380681677,6.603166155712842,2.290008795460343,10.311440889241352,Comp,Comp,Mem,321.37342499720927,542.7692132772324,96.11828390208201
pi0,e2e,256,H100,1,4,2.8365318761363354,13.206332311425683,2.586081023756507,18.628945211318523,Comp,Comp,Mem,321.37342499720927,542.7692132772324,157.6092071846049
pi0,e2e,256,H100,2,4,1.4275901568181677,6.618729523768397,2.304247347977704,10.350567028564267,Comp,Comp,Mem,325.001347010348,545.3186224518554,96.31141563547042
pi0,e2e,256,H100,2,8,2.8551803136363354,13.237459047536793,2.604558128791229,18.697197489964356,Comp,Comp,Mem,325.001347010348,545.3186224518554,158.12915937286084
pi0,e2e,256,H100,2,16,5.710360627272671,26.474918095073587,3.475896872127553,35.661175594473804,Comp,Comp,Comp,325.001347010348,545.3186224518554,232.86010474999094
pi0,e2e,256,H100,4,32,5.78495437727267,26.599425039518028,3.5298052922664414,35.91418470905714,Comp,Comp,Comp,325.001347010348,545.3186224518554,232.86010474999094
pi0,e2e,256,H100,4,8,1.4462385943181675,6.649856259879507,2.332724453012426,10.428819307210102,Comp,Comp,Mem,325.001347010348,545.3186224518554,96.31141563547042
pi0,e2e,256,H100,4,16,2.892477188636335,13.299712519759014,2.641512338860674,18.833702047256025,Comp,Comp,Mem,325.001347010348,545.3186224518554,158.12915937286084
pi0,e2e,256,Jetson_AGX_Thor,1,128,418.66387939453125,1118.1751755193334,243.60686190789062,1780.4459168217552,Mem,Mem,Mem,516.8297057059909,1205.5901840083075,414.4886707914479
pi0,e2e,256,Jetson_AGX_Thor,1,256,837.3277587890625,2236.3503510386668,471.5887238157813,3545.2668336435104,Mem,Mem,Mem,516.8297057059909,1205.5901840083075,425.6788802380055
pi0,e2e,256,Jetson_AGX_Thor,1,512,1674.655517578125,4472.7007020773335,927.5524476315625,7074.908667287021,Mem,Mem,Mem,516.8297057059909,1205.5901840083075,431.5036672023047
pi0,e2e,256,RTX_4090,1,2,8.041672864282793,39.57897774545454,7.882206569855926,55.502857179593256,Comp,Comp,Mem,321.37342499720927,542.7692132772324,96.11828390208201
pi0,e2e,256,RTX_4090,1,4,16.083345728565586,79.15795549090907,10.212891927272727,105.45419314674739,Comp,Comp,Comp,321.37342499720927,542.7692132772324,157.6092071846049
